product_id,product_name,total_quantity_sold,total_revenue,number_of_orders
51,Product 51,43,10018.57,18
30,Product 30,40,8352.000000000002,16
29,Product 29,32,7828.160000000001,14
54,Product 54,32,7295.039999999999,12
6,Product 6,28,6824.439999999999,12
14,Product 14,38,6658.739999999999,15
59,Product 59,45,6584.4,17
55,Product 55,27,6430.050000000001,11
31,Product 31,29,6295.32,9
41,Product 41,35,5973.8,14
2,Product 2,28,5943.0,11
13,Product 13,35,5801.950000000001,14
52,Product 52,25,5537.749999999999,10
5,Product 5,32,5122.239999999999,12
60,Product 60,31,5102.910000000001,13
45,Product 45,34,4845.34,11
53,Product 53,28,4732.840000000001,12
39,Product 39,24,4450.08,9
19,Product 19,21,4398.030000000001,8
57,Product 57,24,4378.320000000001,9
32,Product 32,32,3858.5599999999995,16
37,Product 37,32,3785.919999999999,12
56,Product 56,20,3767.7999999999993,9
23,Product 23,20,3707.2000000000003,8
43,Product 43,38,3612.66,14
33,Product 33,22,3424.96,9
12,Product 12,34,3338.8,13
25,Product 25,21,3326.1899999999996,9
47,Product 47,23,3254.04,8
48,Product 48,22,2869.6800000000007,10
20,Product 20,14,2804.4799999999996,8
9,Product 9,17,2771.34,8
35,Product 35,22,2699.84,11
1,Product 1,26,2530.3199999999997,10
27,Product 27,34,2475.2,13
36,Product 36,22,2458.94,9
4,Product 4,32,2147.84,12
42,Product 42,26,2106.52,9
3,Product 3,15,2104.5,7
8,Product 8,15,2041.05,7
46,Product 46,37,1971.7299999999996,15
28,Product 28,24,1632.7199999999998,9
50,Product 50,24,1589.04,10
16,Product 16,26,1373.58,8
7,Product 7,20,1255.7999999999997,8
24,Product 24,17,1248.48,8
17,Product 17,34,798.6600000000002,14
58,Product 58,12,715.4399999999999,6
22,Product 22,19,594.32,7
49,Product 49,23,556.83,8
15,Product 15,27,541.89,11
11,Product 11,15,519.5999999999999,7
38,Product 38,17,411.74,6
10,Product 10,28,357.56,11
21,Product 21,19,325.28000000000003,8
18,Product 18,35,287.35,12
34,Product 34,37,239.39,15
26,Product 26,16,236.96,7
44,Product 44,31,229.70999999999995,13
40,Product 40,13,57.980000000000004,6
