token,doc_ids,freq
spark,"doc_1,doc_2,doc_3,doc_5,doc_8,doc_9",6
data,"doc_1,doc_9,doc_10",3
apache,"doc_1,doc_9",2
processing,"doc_1,doc_4",2
provides,"doc_2,doc_5",2
sql,"doc_5,doc_5",2
analytics,doc_1,1
unified,doc_1,1
engine,doc_1,1
big,doc_1,1
apis,doc_2,1
scala,doc_2,1
java,doc_2,1
r,doc_2,1
highlevel,doc_2,1
python,doc_2,1
kubernetes,doc_3,1
standalone,doc_3,1
runs,doc_3,1
mesos,doc_3,1
hadoop,doc_3,1
stream,doc_4,1
query,doc_5,1
streaming,doc_4,1
fast,doc_4,1
capabilities,doc_5,1
structured,doc_4,1
faulttolerant,doc_4,1
enables,doc_4,1
dataframe,doc_5,1
library,doc_6,1
machine,doc_6,1
learning,doc_6,1
mllib,doc_6,1
classification,doc_6,1
supports,doc_6,1
clustering,doc_6,1
graphs,doc_7,1
graphx,doc_7,1
api,doc_7,1
graphparallel,doc_7,1
computation,doc_7,1
sparks,doc_7,1
analysis,doc_8,1
iterative,doc_8,1
excels,doc_8,1
algorithms,doc_8,1
interactive,doc_8,1
distributed,doc_10,1
rdd,doc_9,1
into,doc_10,1
fundamental,doc_9,1
collections,doc_10,1
dataframes,doc_10,1
columns,doc_10,1
structure,doc_9,1
organized,doc_10,1
