run_id,path,algorithm,task,notes,iteration_or_k,seed,metric_value,shuffle_read_bytes,shuffle_write_bytes,elapsed_ms,timestamp
sweep_KMeans_k4,B,KMeans,kmeans_sweep,sweep k=4 clusters_reels=4,4,42,0.39714674088167995,113095,113095,5563.3864402771,2026-05-12 01:26:11
sweep_KMeans_k6,B,KMeans,kmeans_sweep,sweep k=6 clusters_reels=6,6,42,0.4634974531086031,180056,180056,3062.1392726898193,2026-05-12 01:26:11
sweep_KMeans_k8,B,KMeans,kmeans_sweep,sweep k=8 clusters_reels=8,8,42,0.4488630490825062,235986,235986,2525.657892227173,2026-05-12 01:26:11
sweep_KMeans_k10,B,KMeans,kmeans_sweep,sweep k=10 clusters_reels=10,10,42,0.4291635903341527,359729,359729,2784.7907543182373,2026-05-12 01:26:11
sweep_BisectingKMeans_k4,B,BisectingKMeans,kmeans_sweep,sweep k=4 clusters_reels=1,4,42,nan,230888,230888,8340.04807472229,2026-05-12 01:26:11
sweep_BisectingKMeans_k6,B,BisectingKMeans,kmeans_sweep,sweep k=6 clusters_reels=1,6,42,nan,381648,381648,11737.52474784851,2026-05-12 01:26:11
sweep_BisectingKMeans_k8,B,BisectingKMeans,kmeans_sweep,sweep k=8 clusters_reels=1,8,42,nan,532408,532408,13142.052173614502,2026-05-12 01:26:11
sweep_BisectingKMeans_k10,B,BisectingKMeans,kmeans_sweep,sweep k=10 clusters_reels=1,10,42,nan,-311461,-311461,13365.916728973389,2026-05-12 01:26:11
stability_seed42,B,KMeans,seed_stability,k=6 seed=42 clusters_reels=6,6,42,0.4634974531086031,20779,17010,2076.2147903442383,2026-05-12 01:26:11
stability_seed43,B,KMeans,seed_stability,k=6 seed=43 clusters_reels=6,6,43,0.4780234171383676,163095,163095,1826.6637325286865,2026-05-12 01:26:11
stability_seed44,B,KMeans,seed_stability,k=6 seed=44 clusters_reels=6,6,44,0.47753579473291813,116449,116449,1820.4407691955566,2026-05-12 01:26:11
stability_seed45,B,KMeans,seed_stability,k=6 seed=45 clusters_reels=6,6,45,0.462934618636871,82035,82035,1950.913667678833,2026-05-12 01:26:11
stability_seed46,B,KMeans,seed_stability,k=6 seed=46 clusters_reels=6,6,46,0.4632645991425651,259983,259983,2306.108236312866,2026-05-12 01:26:11
partition_n1,B,KMeans,partitioning,repartition=1 clusters_reels=6,6,42,0.4532313550187591,-149942,-146173,2234.3432903289795,2026-05-12 01:26:11
partition_n2,B,KMeans,partitioning,repartition=2 clusters_reels=6,6,42,0.47848229207879556,-75297,-75297,1471.8687534332275,2026-05-12 01:26:11
partition_n4,B,KMeans,partitioning,repartition=4 clusters_reels=6,6,42,0.46521855282494995,-31849,-31849,1628.8902759552002,2026-05-12 01:26:11
partition_n8,B,KMeans,partitioning,repartition=8 clusters_reels=6,6,42,0.4725286468307903,186387,186387,1916.9161319732666,2026-05-12 01:26:11
partition_n16,B,KMeans,partitioning,repartition=16 clusters_reels=6,6,42,0.47704363175322384,187965,187965,1982.6977252960205,2026-05-12 01:26:11
